Label,Key,R,G,B,T
2002,ctx-rh-caudalanteriorcingulate,125,100,160,1
2003,ctx-rh-caudalmiddlefrontal,100,25,0,1
2004,ctx-rh-corpuscallosum,120,70,50,1
2005,ctx-rh-cuneus,220,20,100,1
2006,ctx-rh-entorhinal,220,20,10,1
2007,ctx-rh-fusiform,180,220,140,1
2008,ctx-rh-inferiorparietal,220,60,220,1
2009,ctx-rh-inferiortemporal,180,40,120,1
2010,ctx-rh-isthmuscingulate,140,20,140,1
2011,ctx-rh-lateraloccipital,20,30,140,1
2012,ctx-rh-lateralorbitofrontal,35,75,50,1
2013,ctx-rh-lingual,225,140,140,1
2014,ctx-rh-medialorbitofrontal,200,35,75,1
2015,ctx-rh-middletemporal,160,100,50,1
2016,ctx-rh-parahippocampal,20,220,60,1
2017,ctx-rh-paracentral,60,220,60,1
2018,ctx-rh-parsopercularis,220,180,140,1
2019,ctx-rh-parsorbitalis,20,100,50,1
2020,ctx-rh-parstriangularis,220,60,20,1
2021,ctx-rh-pericalcarine,120,100,60,1
2022,ctx-rh-postcentral,220,20,20,1
2023,ctx-rh-posteriorcingulate,220,180,220,1
2024,ctx-rh-precentral,60,20,220,1
2025,ctx-rh-precuneus,160,140,180,1
2026,ctx-rh-rostralanteriorcingulate,80,20,140,1
2027,ctx-rh-rostralmiddlefrontal,75,50,125,1
2028,ctx-rh-superiorfrontal,20,220,160,1
2029,ctx-rh-superiorparietal,20,180,140,1
2030,ctx-rh-superiortemporal,140,220,220,1
2031,ctx-rh-supramarginal,80,160,20,1
2032,ctx-rh-frontalpole,100,0,100,1
2033,ctx-rh-temporalpole,70,70,70,1
2034,ctx-rh-transversetemporal,150,150,200,1
2035,ctx-rh-insula,255,192,32,1
3000,wm-lh-unknown,230,250,230,1
3001,wm-lh-bankssts,230,155,215,1
3002,wm-lh-caudalanteriorcingulate,130,155,95,1
3003,wm-lh-caudalmiddlefrontal,155,230,255,1
3004,wm-lh-corpuscallosum,135,185,205,1
3005,wm-lh-cuneus,35,235,155,1
3006,wm-lh-entorhinal,35,235,245,1
3007,wm-lh-fusiform,75,35,115,1
3008,wm-lh-inferiorparietal,35,195,35,1
3009,wm-lh-inferiortemporal,75,215,135,1
3010,wm-lh-isthmuscingulate,115,235,115,1
3011,wm-lh-lateraloccipital,235,225,115,1
3012,wm-lh-lateralorbitofrontal,220,180,205,1
3013,wm-lh-lingual,30,115,115,1
3014,wm-lh-medialorbitofrontal,55,220,180,1
3015,wm-lh-middletemporal,95,155,205,1
3016,wm-lh-parahippocampal,235,35,195,1
3017,wm-lh-paracentral,195,35,195,1
3018,wm-lh-parsopercularis,35,75,115,1
3019,wm-lh-parsorbitalis,235,155,205,1
3020,wm-lh-parstriangularis,35,195,235,1
3021,wm-lh-pericalcarine,135,155,195,1
3022,wm-lh-postcentral,35,235,235,1
3023,wm-lh-posteriorcingulate,35,75,35,1
3024,wm-lh-precentral,195,235,35,1
3025,wm-lh-precuneus,95,115,75,1
3026,wm-lh-rostralanteriorcingulate,175,235,115,1
3027,wm-lh-rostralmiddlefrontal,180,205,130,1
3028,wm-lh-superiorfrontal,235,35,95,1
3029,wm-lh-superiorparietal,235,75,115,1
3030,wm-lh-superiortemporal,115,35,35,1
3031,wm-lh-supramarginal,175,95,235,1
3032,wm-lh-frontalpole,155,255,155,1
3033,wm-lh-temporalpole,185,185,185,1
3034,wm-lh-transversetemporal,105,105,55,1
3035,wm-lh-insula,20,220,160,1
4000,wm-rh-unknown,230,250,230,1
4001,wm-rh-bankssts,230,155,215,1
4002,wm-rh-caudalanteriorcingulate,130,155,95,1
4003,wm-rh-caudalmiddlefrontal,155,230,255,1
4004,wm-rh-corpuscallosum,135,185,205,1
4005,wm-rh-cuneus,35,235,155,1
4006,wm-rh-entorhinal,35,235,245,1
4007,wm-rh-fusiform,75,35,115,1
4008,wm-rh-inferiorparietal,35,195,35,1
4009,wm-rh-inferiortemporal,75,215,135,1
4010,wm-rh-isthmuscingulate,115,235,115,1
4011,wm-rh-lateraloccipital,235,225,115,1
4012,wm-rh-lateralorbitofrontal,220,180,205,1
4013,wm-rh-lingual,30,115,115,1
4014,wm-rh-medialorbitofrontal,55,220,180,1
4015,wm-rh-middletemporal,95,155,205,1
4016,wm-rh-parahippocampal,235,35,195,1
4017,wm-rh-paracentral,195,35,195,1
4018,wm-rh-parsopercularis,35,75,115,1
4019,wm-rh-parsorbitalis,235,155,205,1
4020,wm-rh-parstriangularis,35,195,235,1
4021,wm-rh-pericalcarine,135,155,195,1
4022,wm-rh-postcentral,35,235,235,1
4023,wm-rh-posteriorcingulate,35,75,35,1
4024,wm-rh-precentral,195,235,35,1
4025,wm-rh-precuneus,95,115,75,1
4026,wm-rh-rostralanteriorcingulate,175,235,115,1
4027,wm-rh-rostralmiddlefrontal,180,205,130,1
4028,wm-rh-superiorfrontal,235,35,95,1
4029,wm-rh-superiorparietal,235,75,115,1
4030,wm-rh-superiortemporal,115,35,35,1
4031,wm-rh-supramarginal,175,95,235,1
4032,wm-rh-frontalpole,155,255,155,1
4033,wm-rh-temporalpole,185,185,185,1
4034,wm-rh-transversetemporal,105,105,55,1
4035,wm-rh-insula,20,220,160,1
1301,ctx-lh-frontal-lobe,25,100,40,1
1303,ctx-lh-cingulate-lobe,100,25,0,1
1304,ctx-lh-occipital-lobe,120,70,50,1
1305,ctx-lh-temporal-lobe,220,20,100,1
1306,ctx-lh-parietal-lobe,220,20,10,1
1307,ctx-lh-insula-lobe,255,192,32,1
2301,ctx-rh-frontal-lobe,25,100,40,1
2303,ctx-rh-cingulate-lobe,100,25,0,1
2304,ctx-rh-occipital-lobe,120,70,50,1
2305,ctx-rh-temporal-lobe,220,20,100,1
2306,ctx-rh-parietal-lobe,220,20,10,1
2307,ctx-rh-insula-lobe,255,192,32,1
3201,wm-lh-frontal-lobe,235,35,95,1
3203,wm-lh-cingulate-lobe,35,75,35,1
3204,wm-lh-occipital-lobe,135,155,195,1
3205,wm-lh-temporal-lobe,115,35,35,1
3206,wm-lh-parietal-lobe,35,195,35,1
3207,wm-lh-insula-lobe,20,220,160,1
4201,wm-rh-frontal-lobe,235,35,95,1
4203,wm-rh-cingulate-lobe,35,75,35,1
4204,wm-rh-occipital-lobe,135,155,195,1
4205,wm-rh-temporal-lobe,115,35,35,1
4206,wm-rh-parietal-lobe,35,195,35,1
4207,wm-rh-insula-lobe,20,220,160,1
1100,ctx-lh-Unknown,0,0,0,1
1101,ctx-lh-Corpus_callosum,50,50,50,1
1102,ctx-lh-G_and_S_Insula_ONLY_AVERAGE,180,20,30,1
1103,ctx-lh-G_cingulate-Isthmus,60,25,25,1
1104,ctx-lh-G_cingulate-Main_part,25,60,60,1
1200,ctx-lh-G_cingulate-caudal_ACC,25,60,61,1
1201,ctx-lh-G_cingulate-rostral_ACC,25,90,60,1
1202,ctx-lh-G_cingulate-posterior,25,120,60,1
1205,ctx-lh-S_cingulate-caudal_ACC,25,150,60,1
1206,ctx-lh-S_cingulate-rostral_ACC,25,180,60,1
1207,ctx-lh-S_cingulate-posterior,25,210,60,1
1210,ctx-lh-S_pericallosal-caudal,25,150,90,1
1211,ctx-lh-S_pericallosal-rostral,25,180,90,1
1212,ctx-lh-S_pericallosal-posterior,25,210,90,1
1105,ctx-lh-G_cuneus,180,20,20,1
1106,ctx-lh-G_frontal_inf-Opercular_part,220,20,100,1
1107,ctx-lh-G_frontal_inf-Orbital_part,140,60,60,1
1108,ctx-lh-G_frontal_inf-Triangular_part,180,220,140,1
1109,ctx-lh-G_frontal_middle,140,100,180,1
1110,ctx-lh-G_frontal_superior,180,20,140,1
1111,ctx-lh-G_frontomarginal,140,20,140,1
1112,ctx-lh-G_insular_long,21,10,10,1
1113,ctx-lh-G_insular_short,225,140,140,1
1114,ctx-lh-G_and_S_occipital_inferior,23,60,180,1
1115,ctx-lh-G_occipital_middle,180,60,180,1
1116,ctx-lh-G_occipital_superior,20,220,60,1
1117,ctx-lh-G_occipit-temp_lat-Or_fusiform,60,20,140,1
1118,ctx-lh-G_occipit-temp_med-Lingual_part,220,180,140,1
1119,ctx-lh-G_occipit-temp_med-Parahippocampal_part,65,100,20,1
1120,ctx-lh-G_orbital,220,60,20,1
1121,ctx-lh-G_paracentral,60,100,60,1
1122,ctx-lh-G_parietal_inferior-Angular_part,20,60,220,1
1123,ctx-lh-G_parietal_inferior-Supramarginal_part,100,100,60,1
1124,ctx-lh-G_parietal_superior,220,180,220,1
1125,ctx-lh-G_postcentral,20,180,140,1
1126,ctx-lh-G_precentral,60,140,180,1
